id,chapter,zoom,image,source-citation,source-link,desc,lon,lat
258413,Grindleford Station Cafe,15,https://scontent-lhr3-1.xx.fbcdn.net/hprofile-xfa1/v/t1.0-1/c45.0.184.184/1919664_670054873111473_1245091998602595160_n.jpg?oh=4f542d2a77a58a186cb1fd89ab621522&oe=56EDBB26,http://freston.net/blog/index.php?y=2008&m=11&d=01,Click here for Freston.net review,http://freston.net/blog/index.php?y=2008&m=11&d=01,-1.6265018,53.3052619
660202,G & T's Cafe & Kitchen,15,https://scontent-lhr3-1.xx.fbcdn.net/hphotos-xat1/t31.0-8/11406696_1680676632160089_3714613087423505822_o.jpg,http://freston.net/blog/index.php?y=2015&m=06&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=06&d=25,1.506897,52.268309
769528,The Stables Cafe,15,http://www.freston.net/blog/zpix/20150604-holywells.jpg,http://freston.net/blog/index.php?y=2015&m=06&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=06&d=04,1.172472,52.046051
526865,The Lodge,15,http://www.freston.net/blog/zpix/20150529-thelodge.jpg,http://freston.net/blog/index.php?y=2015&m=05&d=29,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=05&d=29,,
659489,Granary Tea Room,15,http://www.freston.net/blog/zpix/20150515-granarysnape.jpg,http://freston.net/blog/index.php?y=2015&m=05&d=15,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=05&d=15,1.496887,52.163403
-1,Green Olive Deli,15,http://www.freston.net/blog/zpix/20140611-greenolive.jpg,http://www.freston.net/blog/index.php?y=2014&m=06&d=11,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2014&m=06&d=11,,
660363,The Firestation,15,http://www.freston.net/blog/zpix/20131025-firestation.jpg,http://www.freston.net/blog/index.php?y=2013&m=10&d=25,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2013&m=10&d=25,1.3180637,52.0928902
660360,Cumberland Fish,15,http://www.freston.net/blog/zpix/20130628-cumberland.jpg,http://www.freston.net/blog/index.php?y=2013&m=06&d=28,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2013&m=06&d=28,,
659265,East Coast Diner,15,http://www.freston.net/blog/zpix/20130208-eastcoastdiner.jpg,http://www.freston.net/blog/index.php?y=2013&m=02&d=08,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2013&m=02&d=08,,
659203,The Table,15,http://www.freston.net/blog/zpix/20121030-thetable.jpg,http://www.freston.net/blog/index.php?y=2012&m=10&d=31,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2012&m=10&d=31,,
659785,Honey & Harvey,15,http://www.freston.net/blog/zpix/20120530-honeyharvey.jpg,http://www.freston.net/blog/index.php?y=2012&m=05&d=30,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2012&m=05&d=30,,
-1,Eat. Drink. Rugby,15,http://www.freston.net/blog/zpix/20110203-eatdrinkrugby.jpg,http://www.freston.net/blog/index.php?y=2011&m=02&d=03,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2011&m=02&d=03,,
659791,Caffe Nero,15,http://www.freston.net/blog/zpix/20101019-nero.jpg,http://www.freston.net/blog/index.php?y=2010&m=10&d=19,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2010&m=10&d=19,,
-1,The Moorish Lounge,15,http://www.freston.net/blog/zpix/20100212-moorish.jpg,http://www.freston.net/blog/index.php?y=2010&m=02&d=12,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2010&m=02&d=12,,
659595,Ferry Quay Cafe,15,http://www.freston.net/blog/zpix/20071026-ferrycafe.jpg,http://www.freston.net/blog/index.php?y=2007&m=05&d=11,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=05&d=11,,
659569,Riverside Theatre & Restaurant,15,http://www.freston.net/blog/zpix/20070824-riverside.jpg,http://www.freston.net/blog/index.php?y=2007&m=08&d=24,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=08&d=24,,
-1,Browsers coffee shop,15,http://www.freston.net/blog/zpix/20070817-browsers.jpg,http://www.freston.net/blog/index.php?y=2007&m=08&d=17,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=08&d=17,,
659358,Pavilion Cafe,15,http://www.freston.net/blog/zpix/20070803-pavilion.jpg,http://www.freston.net/blog/index.php?y=2007&m=08&d=03,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=08&d=03,,
659937,Sandwich Shop & Coffee Bar,15,http://www.freston.net/blog/zpix/20070727-sandwichshop.jpg,http://www.freston.net/blog/index.php?y=2007&m=08&d=24,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=08&d=24,,
-1,Jars of Clay,15,http://www.freston.net/blog/zpix/20070720-jarsofclay.jpg,http://www.freston.net/blog/index.php?y=2007&m=07&d=20,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=07&d=20,,
-1,Tea Hut,15,http://www.freston.net/blog/zpix/20070713-teahut.jpg,http://www.freston.net/blog/index.php?y=2007&m=07&d=13,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=07&d=13,,
659865,Georgian Coffee House,15,http://www.freston.net/blog/zpix/20070706-georgian.jpg,http://www.freston.net/blog/index.php?y=2007&m=07&d=06,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=07&d=06,,
659166,B&B,15,http://www.freston.net/blog/zpix/20070629-waterfront.jpg,http://www.freston.net/blog/index.php?y=2007&m=06&d=29,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=06&d=29,,
-1,Frangipani Coffee House,15,http://www.freston.net/blog/zpix/20070622-frangipani.jpg,http://www.freston.net/blog/index.php?y=2007&m=06&d=22,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=06&d=22,,
659735,Costa Coffee,15,http://www.freston.net/blog/zpix/20070615-costa.jpg,http://www.freston.net/blog/index.php?y=2007&m=06&d=15,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=06&d=15,,
-1,Pickwicks Tea Rooms,15,http://www.freston.net/blog/zpix/20070608-pickwicks.jpg,http://www.freston.net/blog/index.php?y=2007&m=06&d=08,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=06&d=08,,
659187,Notcutts Ltd,15,http://www.freston.net/blog/zpix/20070525-notcutts.jpg,http://www.freston.net/blog/index.php?y=2007&m=05&d=25,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=05&d=25,,
659667,Mrs Pipers,15,http://www.freston.net/blog/zpix/20070518-mrspipers.jpg,http://www.freston.net/blog/index.php?y=2007&m=05&d=18,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=05&d=18,,
659579,The Whistlestop Cafe,15,http://www.freston.net/blog/zpix/20070504-whistlestop.jpg,http://www.freston.net/blog/index.php?y=2007&m=05&d=04,Click here for Freston.net review,http://www.freston.net/blog/index.php?y=2007&m=05&d=04,,
672080,Half Moon Foods,15,http://freston.net/blog/zpix/20170113-halfmoonfoods.jpg,http://freston.net/blog/index.php?y=2017&m=01&d=13,Click here for Freston.net review,http://freston.net/blog/index.php?y=2017&m=01&d=13,,
829068,La Tour Cycle Cafe,15,http://freston.net/blog/zpix/20170106-latour.jpg,http://freston.net/blog/index.php?y=2017&m=01&d=06,Click here for Freston.net review,http://freston.net/blog/index.php?y=2017&m=01&d=06,1.155331,52.058961
922728,Munchies Burger Bar,15,http://freston.net/blog/zpix/20161221-munchies.jpg,http://freston.net/blog/index.php?y=2016&m=12&d=21,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=12&d=21,,
925584,The Artisan Smokehouse,15,http://freston.net/blog/zpix/20161125-smokehouse.jpg,http://freston.net/blog/index.php?y=2016&m=11&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=11&d=25,,
892194,Claydon Community Cafe,15,http://freston.net/blog/zpix/20161104-claydoncomm.jpg,http://freston.net/blog/index.php?y=2016&m=11&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=11&d=04,,
830860,Delice,15,http://freston.net/blog/zpix/20160729-woodbridgedeli.jpg,http://freston.net/blog/index.php?y=2016&m=07&d=29,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=07&d=29,,
810578,Applaud Coffee,15,http://freston.net/blog/zpix/20160429-applaud.jpg,http://freston.net/blog/zpix/20160429.jpg,Click here for Freston.net review,http://freston.net/blog/zpix/20160429.jpg,,
839861,The Cooks Shed,15,http://freston.net/blog/zpix/20160323-cooksshed.jpg,http://freston.net/blog/index.php?y=2016&m=03&d=23,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=03&d=23,1.3180346,52.0926056
834146,Subway,15,http://freston.net/blog/zpix/20160303-subway.jpg,http://freston.net/blog/index.php?y=2016&m=03&d=03,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=03&d=03,1.3164526,52.0930023
847574,Smokey Joe's Burger Deli Ipswich,15,http://freston.net/blog/zpix/20160204-smokeyjoes.jpg,http://freston.net/blog/index.php?y=2016&m=02&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=02&d=04,1.1516,52.056232
657851,Go Manila,15,http://freston.net/blog/zpix/20160121-gomanila.jpg,http://freston.net/blog/index.php?y=2016&m=01&d=21,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=01&d=21,1.159337,52.057781
659397,Emmetts Store,15,http://freston.net/blog/zpix/20160115-emmetts.jpg,http://freston.net/blog/index.php?y=2016&m=01&d=15,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=01&d=15,1.4514316,52.2715338
659208,Seckford Hall Hotel & Restaurant,15,http://freston.net/blog/zpix/20160108-seckfordspa.jpg,http://freston.net/blog/index.php?y=2016&m=01&d=08,Click here for Freston.net review,http://freston.net/blog/index.php?y=2016&m=01&d=08,1.284644,52.0882401
-1,Crockery barn Cafe,15,http://freston.net/blog/zpix/20151204-ashbocking.jpg,http://freston.net/blog/index.php?y=2015&m=12&d=04,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=12&d=04,1.195621,52.149817
818393,Pizza I Paella,15,http://freston.net/blog/zpix/20151120-pizzaipaella.jpg,http://freston.net/blog/index.php?y=2015&m=11&d=20,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=11&d=20,1.3179,52.0908
691611,Doorsteps,15,http://freston.net/blog/zpix/20151113-doorsteps.jpg,http://freston.net/blog/index.php?y=2015&m=11&d=13,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=11&d=13,1.15407,52.05615
659877,221B Bakers,15,http://freston.net/blog/zpix/20151106-221.jpg,http://freston.net/blog/zpix/20151106-221.jpg,Click here for Freston.net review,http://freston.net/blog/zpix/20151106-221.jpg,1.3412951,52.2221847
902200,Sally Jane's Pie 'N' Mash,15,http://freston.net/blog/zpix/20151016-sallyjanes.jpg,http://freston.net/blog/index.php?y=2015&m=10&d=16,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=10&d=16,1.336353,51.952266
718002,Momentum,15,http://freston.net/blog/zpix/20151009-momentum.jpg,http://freston.net/blog/index.php?y=2015&m=10&d=09,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=10&d=09,1.1525663,52.055082
659096,The Flying Goose Cafe,15,http://freston.net/blog/zpix/20150925-flyinggoose.jpg,http://freston.net/blog/index.php?y=2015&m=09&d=25,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=09&d=25,1.49218,52.27609
761340,Angel Inn Coffee House,15,http://freston.net/blog/zpix/20150902-angel.jpg,http://freston.net/blog/index.php?y=2015&m=09&d=02,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=09&d=02,1.3395378,51.9720139
659175,Wild Strawberry Cafe,15,http://freston.net/blog/zpix/20150826-wildstrawberry.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=26,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=26,1.31292,52.094093
659101,The Tea Hut,15,http://freston.net/blog/zpix/20150821-teahut.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=21,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=21,1.316219,52.087863
722678,Fish Face,15,http://freston.net/blog/zpix/20150819-fishface.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=19,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=19,1.1538,52.0574
659105,Darsham Serv Station & Lily's Pantry,15,http://freston.net/blog/zpix/20150814-lilys.jpg,http://freston.net/blog/index.php?y=2015&m=08&d=14,Click here for Freston.net review,http://freston.net/blog/index.php?y=2015&m=08&d=14,1.52564,52.273534
